N	SelectSort	BubbleSort	ShakerSort	InsertSort	ShellSort
486	119295	301020	246032	122527	8867
487	119784	297123	252858	113619	8879
488	120283	293314	264961	113893	8931
489	120759	300786	271833	117060	8877
490	121257	300660	274789	122379	8924
491	121765	305809	277094	117641	9001
492	122247	296220	275121	120492	8968
493	122739	304923	269169	117299	9006
494	123223	298291	255870	124232	9014
495	123735	309276	269299	130253	9052
496	124233	299577	264573	128440	9087
497	124714	312604	264772	130395	9065
498	125229	311730	266891	128030	9122
499	125730	317019	272931	117439	9124
500	126244	309754	271178	121626	9143
